model,MAE,RMSE,sMAPE,n_previsoes,unit,state,region,level,rank_sMAPE
sarimax,10754.580082540602,21658.159107653122,134.04088242873942,1452,Belo,,,city,4.0
lgbm,15758.107539017656,21233.3404213181,151.3541700550216,1452,Belo,,,city,5.0
xgboost,9158.141457297585,20583.51956468663,88.73486244610305,1452,Belo,,,city,1.0
catboost,8473.9255718149,18281.483269386492,95.19079090426523,1452,Belo,,,city,3.0
randomforest,8851.973305785126,19148.135706147525,90.23895246848636,1452,Belo,,,city,2.0
sarimax,4481.896694660601,12356.601164824446,103.1622740128847,1452,Brasília,DF,Midwest,city,5.0
lgbm,4559.134171936238,12365.906936663469,100.54992554817466,1452,Brasília,DF,Midwest,city,4.0
xgboost,4196.149254297094,12678.425843864185,83.74195123127187,1452,Brasília,DF,Midwest,city,3.0
catboost,3886.8190810198075,12393.197639900904,76.62084834876009,1452,Brasília,DF,Midwest,city,1.0
randomforest,4202.385110192838,12647.250728650813,82.38484097204773,1452,Brasília,DF,Midwest,city,2.0
sarimax,1941.3204326816006,3481.2126767411173,87.60731408360462,1452,Fortaleza,CE,Northeast,city,2.0
lgbm,2915.3181375739764,3885.3573873377486,102.07898940368545,1452,Fortaleza,CE,Northeast,city,5.0
xgboost,2789.686300619246,4500.231437834975,89.3730530758959,1452,Fortaleza,CE,Northeast,city,3.0
catboost,1954.873017241636,3143.8710545419785,77.54171857328072,1452,Fortaleza,CE,Northeast,city,1.0
randomforest,3275.629070247934,4406.8997575271405,98.39914407887453,1452,Fortaleza,CE,Northeast,city,4.0
sarimax,352.91674210146596,604.6323626830456,99.72728440736216,1452,Manaus,AM,North,city,5.0
lgbm,523.8831423668322,699.9920362104981,94.80346607428612,1452,Manaus,AM,North,city,4.0
xgboost,324.298379997905,505.928030714003,65.48119269967924,1452,Manaus,AM,North,city,1.0
catboost,348.5234854554499,541.7316269099408,70.9320495423953,1452,Manaus,AM,North,city,3.0
randomforest,328.298044077135,505.84426343190813,67.86581774220956,1452,Manaus,AM,North,city,2.0
sarimax,1364.1246602268436,2544.0585353428173,105.64787632030821,1452,Recife,PE,Northeast,city,4.0
lgbm,1616.7617184270966,2197.3140147370427,111.15702254873445,1452,Recife,PE,Northeast,city,5.0
xgboost,1229.4044568716001,2004.9987507659953,83.30177740135876,1452,Recife,PE,Northeast,city,3.0
catboost,1207.9937858780688,1924.0969525873086,83.25177854595147,1452,Recife,PE,Northeast,city,2.0
randomforest,1226.259152892562,1953.533587033571,81.22168754093593,1452,Recife,PE,Northeast,city,1.0
sarimax,2511.594208581612,6336.2064700336105,135.5682393464935,1452,Rio de Janeiro,RJ,Southeast,city,4.0
lgbm,5813.566531202099,8474.837132078334,154.6649303757913,1452,Rio de Janeiro,RJ,Southeast,city,5.0
xgboost,7554.28045888906,16234.25084400464,119.67568361353639,1452,Rio de Janeiro,RJ,Southeast,city,1.0
catboost,4246.387986392714,7831.503147579743,126.41049040353467,1452,Rio de Janeiro,RJ,Southeast,city,2.0
randomforest,7200.464318181819,12778.83061520129,133.27206144012948,1452,Rio de Janeiro,RJ,Southeast,city,3.0
sarimax,566.6607036328579,906.8478587863777,90.97603467787228,1452,Salvador,BA,Northeast,city,5.0
lgbm,554.0543872800015,749.9288847839337,82.16036903027458,1452,Salvador,BA,Northeast,city,4.0
xgboost,508.49035612479383,802.5531500863062,72.08076665463464,1452,Salvador,BA,Northeast,city,1.0
catboost,489.8942302801576,731.4871033968785,76.04017910060763,1452,Salvador,BA,Northeast,city,3.0
randomforest,513.8346212121211,762.4399106172218,73.72019392350984,1452,Salvador,BA,Northeast,city,2.0
sarimax,17031.300383639893,104019.91584813486,87.05533247924583,1452,São Paulo,SP,Southeast,city,3.0
lgbm,11224.74491947392,43379.862869769895,119.79458565528142,1452,São Paulo,SP,Southeast,city,5.0
xgboost,10686.322068153991,44490.157712600696,84.84967859642727,1452,São Paulo,SP,Southeast,city,2.0
catboost,9892.273744303311,43837.5550443421,78.7398316918171,1452,São Paulo,SP,Southeast,city,1.0
randomforest,10726.754139118455,43821.85608012969,87.32925647006505,1452,São Paulo,SP,Southeast,city,4.0
