model,MAE,RMSE,sMAPE,n_previsoes,unit,state,region,level,rank_sMAPE
sarimax,4481.896694660601,12356.601164824446,103.1622740128847,1452,Midwest,,Midwest,region,5.0
lgbm,4559.134171936238,12365.906936663469,100.54992554817466,1452,Midwest,,Midwest,region,4.0
xgboost,4196.149254297094,12678.425843864185,83.74195123127187,1452,Midwest,,Midwest,region,3.0
catboost,3886.8190810198075,12393.197639900904,76.62084834876009,1452,Midwest,,Midwest,region,1.0
randomforest,4202.385110192838,12647.250728650813,82.38484097204773,1452,Midwest,,Midwest,region,2.0
sarimax,2758.3437215959557,4284.373488694885,75.0565697749867,1452,Northeast,,Northeast,region,2.0
lgbm,4077.057720250049,5266.322352490859,84.35759246384056,1452,Northeast,,Northeast,region,5.0
xgboost,3667.7421559105233,5474.451161279561,76.60986421613183,1452,Northeast,,Northeast,region,3.0
catboost,3138.0941286275815,4296.186756591802,70.97387656927071,1452,Northeast,,Northeast,region,1.0
randomforest,4023.5568319559225,5383.271537996164,80.8829440584618,1452,Northeast,,Northeast,region,4.0
sarimax,352.91674210146596,604.6323626830456,99.72728440736216,1452,North,,North,region,5.0
lgbm,523.8831423668322,699.9920362104981,94.80346607428612,1452,North,,North,region,4.0
xgboost,324.298379997905,505.928030714003,65.48119269967924,1452,North,,North,region,1.0
catboost,348.5234854554499,541.7316269099408,70.9320495423953,1452,North,,North,region,3.0
randomforest,328.298044077135,505.84426343190813,67.86581774220956,1452,North,,North,region,2.0
sarimax,11776.469244730035,46742.42617990265,107.5949115541231,1452,Southeast,,Southeast,region,4.0
lgbm,15470.765984981801,46813.02772627872,124.88784082733142,1452,Southeast,,Southeast,region,5.0
xgboost,15075.014796905938,48499.55885698641,89.11292099682028,1452,Southeast,,Southeast,region,2.0
catboost,12816.449511689609,47271.77240223264,87.55754087083378,1452,Southeast,,Southeast,region,1.0
randomforest,14148.123333333335,47940.1467368868,91.52945883676395,1452,Southeast,,Southeast,region,3.0
